yum_id,brand,street,city,state,zip,latitude,longitude,sales_volume,sales_year,closest_tb
80113,McDonald's-TR,2741 LEECHBURG RD,NEW KENSINGTON,PA,15068,40.59079058,-79.73567516,2192000,2004,0.761935437
199816,Boston Market,1560 SAINT GEORGES AVE,AVENEL,NJ,7001,40.59106084,-74.29049404,1538000,2013,1.468583581
86290,McDonald's-TR,835 ROOSEVELT AVE,CARTERET,NJ,7008,40.59119734,-74.22953076,2712000,2012,3.587100907
293558,Fox's Pizza Den,2807 LEECHBURG RD,NEW KENSINGTON,PA,15068,40.59160491,-79.7295434,439000,2013,1.084762508
92237,Domino's,4229 W TILGHMAN ST,ALLENTOWN,PA,18104,40.59168816,-75.54990636,779000,2011,3.889862017
234372,Wendy's,4679 WILLIAM FLYNN HWY,ALLISON PARK,PA,15101,40.59234954,-79.94816015,1229000,2012,2.967998639
358001,Five Guys Famous Burgers and Fries,4025 W TILGHMAN ST,ALLENTOWN,PA,18104,40.59275465,-75.54610461,1016000,2008,3.986567103
279656,Wendy's,90 SAINT GEORGES AVE,RAHWAY,NJ,7065,40.59339139,-74.29102497,2386000,2010,1.628482767
152618,Fox's Pizza Den,1204 MERCHANT ST,AMBRIDGE,PA,15003,40.59485,-80.2303594,314000,2013,6.947362971
229307,Fox's Pizza Den,1350 WILDWOOD RD,GIBSONIA,PA,15044,40.59485567,-79.99100944,232000,2005,2.483032598
229805,Burger King-TR,133 S MAIN ST,LEWISTOWN,PA,17044,40.59523178,-77.57166906,1582000,2012,18.79256098
96930,Stewart's Drive-In,347 JAQUES AVE,RAHWAY,NJ,7065,40.59657682,-74.29000116,350000,2011,1.850516736
58979,Burger King-TR,1129 INMAN AVE,EDISON,NJ,8820,40.59671287,-74.36617834,932000,2012,0.014395464
221415,Wendy's,1160 HELLERTOWN RD,BETHLEHEM,PA,18015,40.59740758,-75.34076986,2158000,2012,3.648805257
209433,Burger King-TR,1225 W 7TH ST,PLAINFIELD,NJ,7063,40.5977727,-74.43698201,1495000,2006,2.589087841
51085,Arby's,3114 W TILGHMAN ST,ALLENTOWN,PA,18104,40.59779762,-75.52655612,727000,2013,3.404412595
82490,McDonald's-TR,721 N CEDAR CREST BLVD,ALLENTOWN,PA,18104,40.59837572,-75.52792014,2573000,2004,3.414866959
58963,Burger King-TR,1517 PARK AVE,SOUTH PLAINFIELD,NJ,7080,40.59966497,-74.40184453,1054000,2012,1.893694223
361241,Vocelli Pizza,4896 WILLIAM FLYNN HWY,ALLISON PARK,PA,15101,40.60052906,-79.94714316,297000,2013,2.40038351
375297,Sonic,199 US HIGHWAY 22,GREEN BROOK,NJ,8812,40.60055698,-74.48143995,1694000,2012,0.309087043
209971,McDonald's-TR,3100 OAKLAND AVE # 1,INDIANA,PA,15701,40.60144135,-79.1923119,2923000,2013,1.936385723
319251,Arby's,2605 BRODHEAD RD,ALIQUIPPA,PA,15001,40.6016862,-80.2766539,1067000,2012,5.529686652
55114,Burger King-TR,4885 WILLIAM FLYNN HWY,ALLISON PARK,PA,15101,40.60173711,-79.94754837,932000,2010,2.319038634
233633,Burger King-TR,178 US HIGHWAY 22,GREEN BROOK,NJ,8812,40.6027694,-74.47778469,1067000,2012,0.553854532
355254,Moe's Southwest Grill,3150 US HIGHWAY 22,BRANCHBURG,NJ,8876,40.6030501,-74.69090288,895000,2009,7.142526908
363234,Wendy's,3190 US HIGHWAY 22,BRANCHBURG,NJ,8876,40.60361125,-74.69223374,1758000,2013,7.204236731
229817,Burger King-TR,1714 US HIGHWAY 1,RAHWAY,NJ,7065,40.60394869,-74.26465013,2342000,2012,2.435160487
152609,Fox's Pizza Den,407 E 6TH AVE,TARENTUM,PA,15084,40.60407356,-79.7496461,439000,2013,1.182786757
152651,Fox's Pizza Den,182 LINCOLN AVE,VANDERGRIFT,PA,15690,40.60450046,-79.56488006,242000,2009,9.750557243
130347,Little Caesars,451 HYDE PARK RD,LEECHBURG,PA,15656,40.60473645,-79.60492595,308000,2012,7.672919258
80179,McDonald's-TR,481 HYDE PARK RD,LEECHBURG,PA,15656,40.60527882,-79.60472879,3344000,2013,7.689180081
394845,Popeyes,1857 US HIGHWAY 1,RAHWAY,NJ,7065,40.60564303,-74.26231228,893000,2012,2.317259757
319579,Papa John's Pizza,2671 BRODHEAD RD,ALIQUIPPA,PA,15001,40.6061112,-80.28187942,388000,2012,5.170220415
130316,Little Caesars,2334 OAKLAND AVE,INDIANA,PA,15701,40.60619923,-79.18238239,258000,2006,1.321813272
360372,Little Caesars,1401 W ALLEN ST,ALLENTOWN,PA,18102,40.60671218,-75.48987809,526000,2012,2.145412759
50677,Arby's,5030 WILLIAM FLYNN HWY,GIBSONIA,PA,15044,40.60733284,-79.94706219,1058000,2012,1.931725553
82514,McDonald's-TR,1414 W TILGHMAN ST,ALLENTOWN,PA,18102,40.60766166,-75.4909973,4660000,2012,2.082622218
310783,Fox's Pizza Den,908 LITTLE DEER CREEK VALLEY RD,RUSSELLTON,PA,15076,40.60779924,-79.83349285,302000,2012,4.646250428
86274,McDonald's-TR,2024 US HIGHWAY 1,RAHWAY,NJ,7065,40.60792884,-74.26082495,2738000,2009,2.162365213
343892,Arby's,16 TOWNE CENTER DR,LEECHBURG,PA,15656,40.60794758,-79.61129337,975000,2011,7.3835496
377628,White Castle,2077 US HIGHWAY 1,RAHWAY,NJ,7065,40.60819359,-74.25993445,1084000,2012,2.147273359
248601,Vocelli Pizza,2260 RIVER RD,VANDERGRIFT,PA,15690,40.60843408,-79.56896208,858000,2011,9.57615684
120737,Wendy's,751 S BRODHEAD RD,ALIQUIPPA,PA,15001,40.608558,-80.282597,2043000,2013,4.997035129
223688,Papa John's Pizza,706 N 13TH ST,ALLENTOWN,PA,18102,40.60861098,-75.48861583,585000,2013,2.013106602
293036,Wendy's,31 TOWNE CENTER DR,LEECHBURG,PA,15656,40.60880503,-79.61059822,1358000,2012,7.431074273
298322,McDonald's-TR,442 WYANDOTTE ST,BETHLEHEM,PA,18015,40.60922321,-75.38535365,2396000,2011,3.30005356
80195,McDonald's-TR,10529 PERRY HWY,WEXFORD,PA,15090,40.60930867,-80.05320157,2106000,2010,1.858093016
120786,Wendy's,10490 PERRY HWY,WEXFORD,PA,15090,40.60943327,-80.05287974,1143000,2013,1.857943901
293037,Wendy's,306 BROADWAY,BETHLEHEM,PA,18015,40.60991359,-75.38306452,1072000,2011,3.400690642
296087,McDonald's-TR,10 US HIGHWAY 22,GREEN BROOK,NJ,8812,40.61015787,-74.46427232,2343000,2012,1.427351074
120741,Wendy's,1894 OAKLAND AVE,INDIANA,PA,15701,40.61138975,-79.17637387,1472000,2012,0.860064098
